Country,Region,GDP_Per_Capita,Social_Support,Life_Expectancy,Freedom,Generosity,Corruption_Perception,Unemployment_Rate,Population,Happiness_Score,Happiness_Rank
China,Oceania,2.133,0.716,67.5,0.338,0.696,0.721,11.0,754896445.0,7.25,1381.0
Finland,Oceania,2.499,0.843,54.5,0.612,0.607,0.831,23.8,474271972.0,7.25,1382.0
Australia,North America,1.199,0.829,76.9,0.23,0.798,0.127,15.7,780285923.0,7.25,1383.0
Canada,South America,1.078,0.983,63.9,0.757,0.616,0.011,24.2,1378828269.0,7.25,1384.0
Norway,South America,1.507,0.573,67.7,0.911,0.017,0.528,17.6,322223786.0,7.25,1385.0
Sweden,South America,1.57,0.769,71.0,0.489,0.398,0.231,8.0,839888866.0,7.25,1386.0
Bhutan,South America,2.383,0.781,60.9,0.26,0.068,0.685,18.5,937823171.0,7.25,1387.0
Denmark,Asia,1.144,0.819,77.4,0.474,0.565,0.686,7.5,1317463624.0,7.25,1388.0
UAE,Asia,2.048,0.543,76.5,0.435,0.708,0.035,3.8,1356250726.0,7.25,1389.0
UAE,Europe,2.409,0.766,55.2,0.395,0.54,0.143,7.0,5076853.0,7.25,1390.0
Sweden,Oceania,1.719,0.821,62.1,0.637,0.641,0.616,18.1,1312851281.0,7.24,1391.0
USA,Asia,1.586,1.0,59.1,0.559,0.589,0.469,21.7,1283218869.0,7.24,1392.0
Brazil,Europe,1.86,0.74,60.0,0.362,0.541,0.13,12.6,945616406.0,7.24,1393.0
India,Asia,1.51,0.303,77.7,0.984,0.376,0.515,2.9,194395170.0,7.24,1394.0
Bhutan,Europe,1.025,0.784,76.3,0.98,0.405,0.282,10.0,1158884802.0,7.24,1395.0
Sweden,South America,1.752,0.997,58.6,0.552,0.625,0.466,14.8,390467688.0,7.24,1396.0
Denmark,Asia,1.315,0.498,83.4,0.752,0.514,0.312,21.3,1177194136.0,7.24,1397.0
France,South America,1.505,0.725,68.9,0.493,0.072,0.041,11.3,738035876.0,7.23,1398.0
Norway,North America,1.846,0.361,77.4,0.811,0.533,0.205,6.0,299868038.0,7.23,1399.0
Brazil,Oceania,1.697,0.907,55.0,0.698,0.009,0.321,14.3,479229794.0,7.23,1400.0
France,Oceania,1.505,0.837,69.1,0.969,0.316,0.098,16.1,81246619.0,7.23,1401.0
UK,Oceania,1.833,0.826,58.3,0.601,0.441,0.583,18.6,242694604.0,7.23,1402.0
Finland,South America,1.779,0.865,63.8,0.459,0.119,0.635,18.9,261944833.0,7.23,1403.0
Canada,Oceania,1.683,0.729,80.2,0.203,0.003,0.271,19.5,155353635.0,7.23,1404.0
Australia,South America,2.472,0.325,64.8,0.436,0.68,0.087,18.8,441579862.0,7.23,1405.0
Italy,North America,1.909,0.728,64.1,0.976,0.04,0.606,10.5,220792789.0,7.23,1406.0
France,Asia,1.925,0.543,73.9,0.578,0.658,0.575,12.5,894719828.0,7.23,1407.0
Canada,Asia,2.097,0.914,53.3,0.269,0.011,0.74,5.4,67977997.0,7.23,1408.0
India,North America,1.899,0.851,58.2,0.266,0.179,0.697,6.8,1035682397.0,7.23,1409.0
Spain,Europe,2.445,0.366,74.3,0.212,0.485,0.119,18.9,944476535.0,7.22,1410.0
France,Europe,1.781,0.603,69.4,0.233,0.424,0.085,18.6,1103504515.0,7.22,1411.0
Norway,Asia,1.853,0.66,72.1,0.577,0.501,0.219,11.3,1196607635.0,7.22,1412.0
China,Asia,,,,,0.32,0.347,12.1,406610421.0,,1413.0
Australia,South America,2.078,0.47,83.3,0.244,0.439,0.861,5.4,191783049.0,7.22,1414.0
Brazil,Europe,1.023,0.975,82.6,0.387,0.109,0.151,5.0,1338831017.0,7.22,1415.0
Singapore,Europe,2.056,0.502,67.1,0.706,0.62,0.793,23.3,651206153.0,7.22,1416.0
China,Oceania,2.174,0.745,67.1,0.317,0.517,0.711,16.5,1253049687.0,7.22,1417.0
Singapore,Asia,1.247,0.827,76.8,0.737,0.372,0.809,9.9,419659692.0,7.22,1418.0
Australia,Asia,0.697,0.953,79.2,0.982,0.491,0.358,22.4,1337002956.0,7.22,1419.0
Norway,Asia,2.339,0.464,57.2,0.826,0.261,0.305,21.1,443196010.0,7.22,1420.0
Spain,Oceania,1.177,0.553,82.6,0.599,0.638,0.366,21.1,1031434071.0,7.22,1421.0
Italy,Oceania,2.066,0.307,80.3,0.911,0.702,0.786,23.8,463546513.0,7.22,1422.0
Norway,South America,2.114,0.362,64.4,0.703,0.183,0.617,12.4,230799073.0,7.22,1423.0
India,Asia,1.823,0.999,56.9,0.815,0.241,0.021,6.5,238251091.0,7.22,1424.0
Bhutan,Oceania,1.546,0.612,72.8,0.79,0.429,0.409,10.7,878186976.0,7.21,1425.0
USA,Europe,1.246,0.919,65.9,0.362,0.109,0.03,,838814553.0,7.21,1426.0
India,Asia,1.486,0.909,62.7,0.892,0.502,0.62,17.9,1346581275.0,7.21,1427.0
UAE,Europe,1.8,0.43,73.1,0.35,0.629,0.424,17.7,1226490174.0,7.21,1428.0
Bhutan,South America,2.067,0.767,61.0,0.401,0.395,0.318,18.7,342944142.0,7.21,1429.0
Australia,Europe,1.16,0.6,78.6,0.811,0.136,0.261,24.9,403779304.0,7.21,1430.0
Norway,Oceania,2.023,0.509,61.0,0.764,0.23,0.617,14.2,447331084.0,7.21,1431.0
Italy,Oceania,2.059,0.722,50.7,0.901,0.684,0.458,21.8,1294732401.0,7.21,1432.0
Denmark,Asia,1.632,0.503,82.7,0.572,0.448,0.109,14.8,1075154436.0,7.21,1433.0
Australia,Oceania,0.998,0.744,84.9,0.734,0.768,0.443,22.6,478786864.0,7.21,1434.0
Germany,North America,2.196,0.651,56.8,0.398,0.737,0.19,2.3,739107533.0,7.21,1435.0
Italy,North America,1.591,0.785,69.7,0.413,0.484,0.595,2.1,1135155587.0,7.21,1436.0
Sweden,Europe,0.886,0.965,83.7,0.94,0.78,0.532,13.4,132263234.0,7.21,1437.0
Spain,Oceania,1.416,0.88,70.7,0.878,0.42,0.859,14.8,847079482.0,7.21,1438.0
Italy,Europe,1.134,0.735,70.3,0.914,0.411,0.296,12.5,982854736.0,7.21,1439.0
China,Oceania,1.983,0.577,69.3,0.937,0.317,0.847,5.3,793554611.0,7.21,1440.0
Germany,North America,1.505,0.532,77.8,0.571,0.272,0.463,23.3,871872317.0,7.2,1441.0
India,Asia,,,,,0.282,0.423,12.1,,,1442.0
France,Asia,1.617,0.74,83.6,0.347,0.265,0.706,20.9,319803547.0,7.2,1443.0
Germany,South America,2.489,0.581,50.3,0.561,0.277,0.079,2.0,617268191.0,7.2,1444.0
Australia,Asia,2.352,0.334,71.7,0.78,0.624,0.523,24.6,,7.2,1445.0
Norway,South America,1.57,0.637,77.5,0.808,0.149,0.44,16.7,308793517.0,7.2,1446.0
Germany,Europe,0.595,0.893,82.1,0.894,0.271,0.682,20.2,505777026.0,7.2,1447.0
China,South America,0.538,0.959,78.1,0.742,0.686,0.098,21.1,162999569.0,7.2,1448.0
Canada,Oceania,1.271,0.887,77.6,0.423,0.601,0.204,15.4,393260464.0,7.2,1449.0
UK,Europe,1.879,0.661,61.4,0.623,0.08,0.887,2.7,960395882.0,7.2,1450.0
Denmark,Europe,1.148,0.72,78.2,0.434,0.782,0.488,20.4,863298483.0,7.2,1451.0
Singapore,Europe,2.297,0.491,70.6,0.688,0.304,0.595,9.6,671786166.0,7.2,1452.0
UAE,Europe,1.847,0.962,62.9,0.588,0.403,0.066,15.6,1315946078.0,7.2,1453.0
Australia,South America,,,,,0.103,0.112,13.7,137630129.0,,1454.0
Japan,Europe,2.157,0.455,55.2,0.852,0.655,0.124,5.0,494928518.0,7.2,1455.0
Finland,Asia,1.767,0.843,57.9,0.647,0.18,0.749,13.9,61219953.0,7.2,1456.0
Denmark,South America,1.939,0.463,79.8,0.506,0.273,0.339,8.2,271508706.0,7.2,1457.0
Brazil,North America,2.379,0.528,60.0,0.462,0.103,0.13,16.0,404689004.0,7.19,1458.0
Italy,North America,1.521,0.973,56.0,0.419,0.139,0.023,14.3,907384244.0,7.19,1459.0
Singapore,Europe,2.214,0.301,73.4,0.479,0.306,0.056,5.4,1314126528.0,7.19,1460.0
Bhutan,North America,2.114,0.494,75.7,0.23,0.053,0.348,10.4,958466151.0,7.19,1461.0
Italy,Europe,1.255,0.73,73.2,0.368,0.141,0.234,17.9,1108057871.0,7.19,1462.0
Nepal,Asia,2.319,0.641,63.6,0.454,0.63,0.57,22.5,511695752.0,7.19,1463.0
Spain,Europe,1.34,0.656,84.6,0.542,0.713,0.308,10.2,6693497.0,7.19,1464.0
Canada,South America,0.909,0.868,80.8,0.613,0.259,0.036,12.1,3552620.0,7.19,1465.0
Finland,Europe,2.024,0.631,69.8,0.713,0.14,0.841,21.2,1199482991.0,7.19,1466.0
Bhutan,Europe,2.23,0.813,57.6,0.835,0.356,0.553,24.7,1305055359.0,7.19,1467.0
Canada,North America,1.42,0.53,76.4,0.717,0.243,0.371,20.2,607606218.0,7.19,1468.0
USA,Asia,2.268,0.411,62.8,0.356,0.229,0.685,12.5,187541308.0,7.18,1469.0
UAE,Oceania,1.488,0.61,67.8,0.808,0.23,0.076,17.4,842008953.0,7.18,1470.0
Germany,Asia,0.835,0.578,83.8,0.879,0.659,0.37,8.3,684642540.0,7.18,1471.0
USA,Oceania,2.042,0.613,58.9,0.599,0.233,0.809,19.0,213243913.0,7.18,1472.0
Germany,Europe,1.778,0.575,73.9,0.527,0.764,0.754,5.7,1066009237.0,7.18,1473.0
Sweden,South America,2.471,0.668,53.9,0.93,0.497,0.388,9.6,930993585.0,7.18,1474.0
Germany,Europe,2.132,0.808,53.9,0.772,0.059,0.846,17.6,967321607.0,7.18,1475.0
Japan,Oceania,1.819,0.91,61.0,0.559,0.092,0.455,15.9,922326425.0,7.18,1476.0
Nepal,North America,1.623,0.432,75.9,0.633,0.673,0.214,4.8,179241228.0,7.18,1477.0
Brazil,Asia,1.174,0.72,76.4,0.451,0.478,0.337,17.5,908787986.0,7.18,1478.0
Germany,North America,1.035,0.681,79.8,0.891,0.075,0.086,20.3,943064781.0,7.18,1479.0
Bhutan,Europe,2.035,0.948,67.2,0.364,0.762,0.71,,394256684.0,7.18,1480.0
France,North America,1.765,0.833,61.3,0.408,0.39,0.792,14.9,490180903.0,7.18,1481.0
Germany,Europe,1.739,0.779,64.4,0.434,0.615,0.429,23.6,90656378.0,7.18,1482.0
Japan,Asia,2.488,0.463,51.3,0.541,0.695,0.204,15.2,1251473079.0,7.18,1483.0
Sweden,South America,2.488,0.416,56.1,0.947,0.293,0.734,22.8,567221388.0,7.18,1484.0
UK,Oceania,2.45,0.86,52.4,0.286,0.044,0.885,16.1,441015780.0,7.18,1485.0
Denmark,Asia,1.798,0.944,61.0,0.91,0.034,0.636,9.1,1045416442.0,7.18,1486.0
India,Europe,1.278,0.842,73.5,0.474,0.461,0.083,12.4,1075579725.0,7.17,
Canada,North America,0.98,0.911,85.0,0.457,0.281,0.474,9.4,1227135191.0,7.17,1488.0
Italy,Oceania,1.703,0.981,50.5,0.983,0.779,0.672,23.3,865254239.0,7.17,1489.0
Spain,South America,1.181,0.979,62.4,0.873,0.302,0.483,4.5,1191617087.0,7.17,1490.0
UAE,Asia,1.25,0.749,76.5,0.873,0.142,0.34,16.9,1073739824.0,7.17,1491.0
Norway,Europe,1.304,0.975,69.0,0.355,0.452,0.176,6.7,1016126347.0,7.17,1492.0
UAE,North America,1.867,0.76,63.0,0.664,0.41,0.063,24.8,153756015.0,7.17,1493.0
China,Asia,2.272,0.933,52.0,0.45,0.283,0.023,22.2,1204765571.0,7.17,1494.0
Japan,Europe,1.435,0.411,76.7,0.659,0.372,0.326,4.5,1221842462.0,7.17,1495.0
India,North America,1.931,0.51,72.2,0.577,0.534,0.807,2.7,728899133.0,7.17,1496.0
Finland,North America,1.296,0.894,69.1,0.822,0.432,0.578,9.6,505894470.0,7.17,1497.0
Brazil,South America,2.136,0.602,58.7,0.334,0.323,0.547,15.1,842893966.0,7.17,1498.0
France,South America,0.644,0.901,80.9,0.99,0.083,0.729,13.4,156948296.0,7.17,1499.0
UAE,North America,1.653,0.522,82.7,0.278,0.287,0.77,14.2,1031145155.0,7.17,1500.0
Nepal,Oceania,1.768,0.803,59.2,0.921,0.056,0.113,2.5,990429839.0,7.16,1501.0
Germany,Europe,1.468,0.921,69.5,0.782,0.045,0.325,2.5,310459696.0,7.16,1502.0
USA,Oceania,2.141,0.648,56.8,0.675,0.341,0.137,18.5,24891828.0,7.16,1503.0
India,South America,1.831,0.954,63.1,0.433,0.668,0.397,20.1,354813228.0,7.16,1504.0
USA,North America,1.121,0.832,79.5,0.704,0.769,0.808,15.3,158885077.0,7.16,1505.0
UAE,Asia,2.379,0.452,65.7,0.671,0.225,0.304,22.9,566279082.0,7.16,1506.0
Norway,Asia,0.664,0.939,79.3,0.733,0.196,0.48,18.7,790430917.0,7.16,1507.0
Norway,Oceania,1.188,0.793,76.8,0.905,0.512,0.628,24.5,493917767.0,7.16,1508.0
China,Asia,2.353,0.704,56.8,0.912,0.712,0.279,24.6,303930931.0,7.16,1509.0
Singapore,Oceania,1.251,0.912,60.8,0.746,0.551,0.06,4.7,1094445105.0,7.16,1510.0
Bhutan,Oceania,1.459,0.513,76.8,0.704,0.722,0.171,15.8,184648247.0,7.16,1511.0
China,South America,1.418,0.689,76.6,0.583,0.578,0.844,5.7,744283610.0,7.16,1512.0
Singapore,Europe,1.805,0.643,83.7,0.296,0.771,0.795,10.2,119103380.0,7.16,1513.0
Japan,Europe,,,,,0.698,0.558,6.7,939169389.0,,1514.0
Singapore,South America,1.633,0.379,75.6,0.535,0.079,0.434,15.6,190910427.0,7.16,1515.0
Sweden,Oceania,1.831,0.61,66.1,0.731,0.659,0.327,20.0,576801656.0,7.15,1516.0
Spain,Oceania,0.878,0.541,83.9,0.697,0.413,0.213,16.7,450647856.0,7.15,1517.0
Spain,South America,2.276,0.941,57.9,0.294,0.141,0.536,17.2,624688280.0,7.15,1518.0
Italy,Oceania,1.996,0.399,69.9,0.44,0.605,0.822,19.5,941449968.0,7.15,1519.0
Japan,Asia,1.795,0.584,71.6,0.696,0.267,0.027,24.6,642228159.0,7.15,1520.0
UK,Asia,1.477,0.85,65.4,0.562,0.382,0.269,6.5,688825963.0,7.15,1521.0
UK,Europe,1.729,0.6,67.3,0.735,0.138,0.436,14.7,1161757969.0,7.15,1522.0
Japan,North America,2.03,0.835,60.6,0.324,0.032,0.485,12.3,1018839576.0,7.15,1523.0
Australia,Asia,2.101,0.767,64.1,0.596,0.656,0.176,6.8,1145029811.0,7.15,1524.0
USA,Europe,1.878,0.457,67.4,0.76,0.307,0.463,3.9,508121684.0,7.15,1525.0
Nepal,North America,1.587,0.463,81.8,0.971,0.544,0.443,10.3,362416674.0,7.15,1526.0
Japan,North America,2.003,0.459,68.5,0.414,0.454,0.644,6.9,661145707.0,7.15,1527.0
Italy,Europe,1.659,0.411,72.4,0.963,0.276,0.693,4.8,1039115290.0,7.15,1528.0
Canada,Europe,2.305,0.808,55.1,0.38,0.079,0.162,5.5,1318868146.0,7.15,1529.0
Italy,Asia,1.395,0.528,79.4,0.462,0.272,0.112,11.7,1194098815.0,7.14,1530.0
Canada,Oceania,1.542,0.409,82.7,0.874,0.016,0.294,6.0,598855658.0,7.14,1531.0
Japan,South America,2.248,0.863,54.1,0.84,0.523,0.633,13.1,735393748.0,7.14,1532.0
Australia,Europe,1.593,0.896,61.9,0.675,0.438,0.534,3.9,87878381.0,7.14,1533.0
India,Europe,0.965,0.455,83.0,0.956,0.511,0.182,16.6,692217923.0,7.14,1534.0
Sweden,Asia,0.87,0.941,75.6,0.886,0.304,0.849,23.2,66863271.0,7.14,1535.0
Japan,South America,2.476,0.453,60.4,0.369,0.387,0.853,13.7,1194954314.0,7.14,1536.0
Norway,Asia,1.608,0.447,76.1,0.796,0.422,0.091,5.3,1224061388.0,7.14,1537.0
Denmark,North America,1.917,0.551,74.0,0.801,0.3,0.38,14.8,526464259.0,7.14,1538.0
Spain,North America,1.761,0.753,62.9,0.86,0.535,0.676,15.0,64993188.0,7.14,1539.0
Nepal,Oceania,1.387,0.816,65.8,0.935,0.065,0.324,10.8,544411609.0,7.14,1540.0
USA,Europe,1.934,0.723,59.8,0.574,0.295,0.648,10.1,482271244.0,7.14,
China,Europe,1.753,0.926,59.7,0.316,0.555,0.111,11.2,890811668.0,7.14,1542.0
Bhutan,South America,1.033,0.954,77.8,0.682,0.331,0.595,6.1,893798028.0,7.14,1543.0
Germany,Asia,2.104,0.482,63.6,0.714,0.17,0.016,11.8,1188451210.0,7.14,1544.0
UAE,South America,1.557,0.851,66.4,0.381,0.172,0.638,17.0,276374577.0,7.13,1545.0
USA,North America,1.752,0.685,65.8,0.956,0.744,0.773,8.9,159040068.0,7.13,1546.0
Spain,South America,,,,,0.274,0.767,15.0,1340027963.0,,1547.0
Nepal,Oceania,1.253,0.79,71.3,0.858,0.241,0.178,13.6,250964613.0,7.13,1548.0
Brazil,Asia,1.074,0.799,82.3,0.468,0.239,0.845,15.1,145136844.0,7.13,1549.0
India,South America,2.212,0.557,63.3,0.593,0.273,0.21,7.5,807716417.0,7.13,1550.0
Brazil,Europe,1.75,0.98,59.8,0.698,0.143,0.28,5.9,638158258.0,7.13,1551.0
Singapore,Asia,2.407,0.5,68.2,0.632,0.051,0.811,20.1,170488068.0,7.13,1552.0
Bhutan,Europe,2.244,0.612,57.7,0.948,0.628,0.608,4.1,1347729500.0,7.13,1553.0
Spain,Asia,2.113,0.865,54.7,0.896,0.776,0.388,15.3,740940805.0,7.13,1554.0
China,Asia,2.38,0.558,59.6,0.272,0.434,0.178,8.0,299504135.0,7.13,1555.0
USA,Oceania,1.433,0.918,56.1,0.791,0.048,0.097,23.9,219257393.0,7.13,1556.0
UK,North America,1.526,0.547,70.1,0.856,0.54,0.565,21.9,656422237.0,7.13,1557.0
Spain,Asia,1.098,0.571,79.8,0.751,0.39,0.678,15.2,511946788.0,7.13,1558.0
Japan,North America,2.32,0.789,59.7,0.226,0.203,0.163,3.7,22574688.0,7.13,1559.0
Canada,Oceania,1.536,0.99,67.8,0.335,0.739,0.082,22.0,392182490.0,7.13,1560.0
Canada,North America,1.935,0.352,68.7,0.771,0.236,0.145,17.8,41819041.0,7.13,1561.0
UK,Europe,1.618,0.311,82.9,0.814,0.012,0.373,13.2,135447683.0,7.12,1562.0
Canada,South America,2.133,0.625,57.2,0.488,0.479,0.467,7.8,1335325401.0,7.12,1563.0
Norway,South America,1.86,0.458,80.3,0.374,0.322,0.785,9.1,365795055.0,7.12,1564.0
Norway,Asia,1.043,0.73,84.0,0.935,0.255,0.709,18.5,57113551.0,7.12,1565.0
Bhutan,Asia,1.737,0.6,65.5,0.676,0.01,0.893,7.3,897909223.0,7.12,1566.0
Singapore,North America,1.48,0.414,77.7,0.57,0.11,0.326,8.5,633412449.0,7.12,1567.0
China,North America,1.114,0.453,83.9,0.432,0.296,0.187,24.0,1353747840.0,7.12,1568.0
France,North America,1.605,0.641,68.6,0.814,0.462,0.331,6.4,913181061.0,7.12,1569.0
Germany,Asia,2.221,0.404,65.1,0.814,0.759,0.304,4.4,45318081.0,7.12,1570.0
Sweden,Oceania,1.354,0.449,77.1,0.851,0.195,0.563,9.7,652437550.0,7.11,1571.0
Australia,Asia,1.416,0.963,79.2,0.455,0.622,0.793,3.2,942151154.0,7.11,1572.0
Bhutan,Oceania,2.021,0.925,68.5,0.243,0.396,0.828,15.8,518052723.0,7.11,1573.0
Denmark,Europe,1.432,0.414,80.9,0.309,0.73,0.222,9.9,799137781.0,7.11,1574.0
Canada,Europe,2.289,0.694,53.7,0.907,0.546,0.385,18.9,640923726.0,7.11,1575.0
Japan,South America,0.926,0.667,81.0,0.697,0.585,0.102,11.4,666607900.0,7.11,1576.0
China,Europe,1.153,0.65,81.7,0.28,0.298,0.151,2.1,575876634.0,7.11,1577.0
Nepal,Oceania,2.125,0.609,70.1,0.498,0.411,0.735,3.5,1066154698.0,7.11,1578.0
China,Oceania,1.472,0.59,81.9,0.837,0.228,0.539,10.5,643645230.0,7.11,1579.0
Singapore,Asia,2.095,0.602,52.9,0.965,0.166,0.198,11.6,516282279.0,7.11,1580.0
Finland,Europe,2.486,0.479,52.5,0.558,0.028,0.887,17.6,1304150179.0,7.1,1581.0
UK,Europe,1.122,0.904,69.0,0.632,0.301,0.839,23.1,1197645434.0,7.1,1582.0
France,North America,1.819,0.85,55.1,0.741,0.015,0.56,14.8,220113463.0,7.1,1583.0
Nepal,South America,2.109,0.633,73.2,0.309,0.599,0.862,9.5,384409831.0,7.1,1584.0
Norway,North America,0.93,0.822,82.0,0.474,0.511,0.401,6.1,29773666.0,7.1,1585.0
Spain,Europe,1.357,0.977,62.8,0.803,0.085,0.612,18.3,238494071.0,7.1,1586.0
Italy,Europe,1.058,0.661,71.7,0.981,0.34,0.472,11.9,1216949597.0,7.1,1587.0
UAE,Oceania,1.527,0.724,60.5,0.777,0.139,0.254,21.5,1248012631.0,7.1,1588.0
Sweden,Asia,1.847,0.651,78.4,0.246,0.184,0.544,17.4,122675245.0,7.1,1589.0
Sweden,Oceania,1.463,0.91,63.0,0.864,0.549,0.533,9.9,,7.1,1590.0
Brazil,Europe,1.384,0.883,65.2,0.549,0.457,0.12,15.7,785072515.0,7.1,1591.0
France,South America,1.865,0.527,72.5,0.234,0.036,0.014,6.1,1365944237.0,7.1,1592.0
UK,Asia,2.242,0.472,50.9,0.924,0.327,0.586,13.9,465999579.0,7.09,1593.0
Japan,South America,1.564,0.812,75.2,0.453,0.756,0.753,10.7,1176829250.0,7.09,1594.0
Australia,Asia,2.172,0.567,61.2,0.451,0.416,0.048,19.8,1185173858.0,7.09,1595.0
Japan,Europe,1.665,0.6,75.8,0.752,0.287,0.776,8.4,800903369.0,7.09,1596.0
Japan,Asia,2.193,0.306,66.4,0.558,0.756,0.296,13.2,203867852.0,7.09,1597.0
UAE,Oceania,1.306,0.907,70.4,0.674,0.109,0.763,7.3,185174884.0,7.09,1598.0
Bhutan,South America,0.926,0.771,78.5,0.814,0.132,0.848,15.1,503314964.0,7.09,1599.0
Japan,North America,1.845,0.877,67.5,0.282,0.367,0.875,17.3,15825923.0,7.08,1600.0
USA,Oceania,1.023,0.74,76.0,0.667,0.277,0.04,11.0,1028476113.0,7.08,1601.0
Norway,South America,1.308,0.883,83.8,0.354,0.43,0.561,17.0,1398201372.0,7.08,1602.0
Singapore,Europe,1.406,0.946,59.1,0.867,0.764,0.273,6.8,274160384.0,7.08,1603.0
Sweden,Asia,2.155,0.329,68.0,0.716,0.271,0.572,24.1,1372565339.0,7.08,1604.0
Denmark,North America,1.864,0.644,71.0,0.873,0.063,0.856,5.8,540675145.0,7.08,1605.0
Italy,Europe,2.093,0.576,58.6,0.99,0.587,0.021,16.2,294927485.0,7.08,1606.0
Japan,Oceania,1.92,0.866,61.4,0.826,0.096,0.714,14.6,29474313.0,7.08,1607.0
Brazil,North America,1.649,0.444,71.9,0.758,0.783,0.682,17.7,1320330261.0,7.08,1608.0
China,Europe,1.359,0.893,61.0,0.78,0.337,0.77,17.2,847700290.0,7.08,1609.0
Japan,Oceania,2.016,0.31,65.3,0.948,0.099,0.724,2.2,147042109.0,7.08,1610.0
Spain,South America,1.313,0.542,79.0,0.316,0.628,0.09,2.0,122999219.0,7.08,1611.0
Denmark,North America,1.741,0.532,66.9,0.682,0.064,0.595,22.0,543442436.0,7.08,1612.0
Sweden,South America,2.443,0.689,55.9,0.762,0.107,0.402,19.0,,7.08,
Canada,Asia,2.151,0.339,62.2,0.701,0.449,0.351,20.1,1012242403.0,7.08,1614.0
China,Oceania,1.225,0.455,84.9,0.528,0.235,0.088,21.0,246276355.0,7.08,1615.0
Singapore,South America,2.348,0.727,50.6,0.281,0.143,0.68,11.5,1330330673.0,7.08,1616.0
France,North America,1.285,0.814,70.3,0.205,0.341,0.284,7.3,382081149.0,7.08,1617.0
Australia,Oceania,2.268,0.781,58.5,0.509,0.072,0.874,15.3,1128797503.0,7.08,1618.0
Bhutan,Europe,1.44,0.808,67.4,0.368,0.087,0.574,10.0,282831876.0,7.07,1619.0
India,Europe,0.841,0.633,82.0,0.874,0.127,0.013,4.0,198978808.0,7.07,1620.0
Canada,North America,1.212,0.939,74.9,0.306,0.382,0.65,2.3,717780979.0,7.07,1621.0
Spain,Oceania,,,,,0.0,0.227,14.4,516404443.0,,1622.0
Singapore,Oceania,1.425,0.724,76.3,0.597,0.172,0.175,3.0,1364890807.0,7.07,1623.0
Sweden,Asia,1.649,0.714,72.2,0.883,0.662,0.55,8.2,323617006.0,7.07,1624.0
Nepal,Oceania,2.216,0.56,67.6,0.636,0.568,0.643,8.0,809740533.0,7.07,1625.0
Sweden,South America,1.282,0.843,75.0,0.686,0.279,0.491,2.1,461163556.0,7.07,1626.0
Brazil,Oceania,1.857,0.48,76.1,0.517,0.736,0.772,4.0,727141973.0,7.07,1627.0
UK,Asia,1.581,0.934,63.4,0.382,0.771,0.89,8.2,16100062.0,7.07,1628.0
Nepal,Oceania,1.579,0.755,63.1,0.547,0.67,0.346,14.9,1374830947.0,7.07,1629.0
Finland,Oceania,1.83,0.593,69.0,0.561,0.288,0.714,11.4,295961183.0,7.07,1630.0
China,Oceania,2.085,0.567,56.4,0.643,0.258,0.587,4.0,596745173.0,7.07,1631.0
Finland,Europe,1.259,0.881,81.9,0.275,0.66,0.083,6.8,1255762021.0,7.07,1632.0
Canada,Oceania,1.959,0.352,80.4,0.314,0.548,0.573,19.6,1061616155.0,7.07,1633.0
UAE,South America,1.582,0.883,75.2,0.267,0.556,0.237,22.6,1233930045.0,7.07,1634.0
Sweden,North America,2.053,0.738,61.9,0.673,0.114,0.209,,1344184839.0,7.07,1635.0
Brazil,South America,1.986,0.509,74.8,0.362,0.452,0.85,22.4,1255257933.0,7.07,1636.0
Nepal,North America,1.789,0.636,71.0,0.611,0.15,0.453,11.6,62839752.0,7.06,1637.0
Sweden,Asia,0.565,0.863,82.6,0.99,0.235,0.3,21.4,709348020.0,7.06,1638.0
Denmark,North America,1.368,0.569,68.6,0.81,0.413,0.073,10.2,1080508762.0,7.06,1639.0
Finland,Oceania,1.032,0.854,76.8,0.611,0.563,0.302,15.1,288834325.0,7.06,1640.0
Spain,Europe,1.861,0.42,66.9,0.805,0.168,0.225,6.0,593437011.0,7.06,1641.0
UAE,Oceania,1.372,0.727,71.4,0.869,0.343,0.05,10.8,1123846920.0,7.06,1642.0
Bhutan,Europe,2.0,0.358,80.4,0.522,0.224,0.662,21.6,333850410.0,7.06,1643.0
India,Asia,1.845,0.677,69.0,0.767,0.675,0.192,20.0,292613173.0,7.06,1644.0
India,Europe,1.147,0.828,79.0,0.51,0.636,0.866,4.8,1038815145.0,7.06,1645.0
Sweden,Asia,1.514,0.872,65.7,0.844,0.344,0.771,2.8,388671467.0,7.05,1646.0
UAE,South America,1.973,0.719,56.2,0.955,0.208,0.154,18.6,96028989.0,7.05,1647.0
UAE,Oceania,2.456,0.634,55.6,0.267,0.151,0.392,7.2,154190949.0,7.05,1648.0
Norway,Europe,1.274,0.894,80.9,0.565,0.049,0.615,13.9,237630693.0,7.05,1649.0
Spain,Oceania,1.257,0.419,83.1,0.478,0.694,0.158,22.2,156680370.0,7.05,1650.0
India,South America,2.444,0.313,55.5,0.817,0.795,0.194,2.2,1347738025.0,7.05,1651.0
India,Asia,1.816,0.389,77.8,0.696,0.463,0.502,2.6,791603010.0,7.05,1652.0
UAE,Asia,1.323,0.768,72.6,0.908,0.35,0.623,6.5,796125522.0,7.05,1653.0
India,Asia,1.489,0.616,69.9,0.762,0.148,0.384,4.8,1345139307.0,7.04,1654.0
